comparison_star,DimBusinessUnit,0
comparison_star,DimDate,0
comparison_star,DimPeriod,0
comparison_star,DimPlant,0
comparison_star,DimProduct,0
comparison_star,DimProductType,0
comparison_star,FactProductionComparison,0
dbo,DimBusinessUnit,2
dbo,DimDate,0
dbo,DimPlant,2
dbo,DimProductType,2
dbo,DimWarehouse,2
dbo,FactInventory,0
dbo,FactProduction,0
dbo,FactProductionComparison,0
dbo,sysdiagrams,3
import,DimDate,0
import,FactInventory,0
import,FactProduction,0
import,FactProductionComparison,0
inventory_star,DimBusinessUnit,0
inventory_star,DimDate,0
inventory_star,DimPlant,0
inventory_star,DimProduct,0
inventory_star,DimWarehouse,0
inventory_star,FactInventory,0
production_star,DimBusinessUnit,1
production_star,DimDate,0
production_star,DimPlant,0
production_star,DimProduct,0
production_star,DimProductType,0
production_star,FactProduction,0
